"Son.
 (#)",Time,"Power
 (W)","foci
 (#)","spacing
 (mm)","Pulses
 (#)","P.Dur
 (ms)","Rep
Time
 (s)","Reps
 (#)","En.foci
 (J/spot)","Tar
 Vol
 (mm3)","En.Vol
 (J/mm3)","Son.Dur
 (s)","PRF
 (Hz)","Rec
Phase
 (ms)","Period
 (ms)","DC
 (%)","DCPS 
 (%)"
1,"2023-11-01
13:08:49",10,32,3,10,2.40,1.00,100,24.00,2.02,0.4,100.0,320.0,0.73,3.12,76.8,2.4
2,"2023-11-01
13:08:51",10,32,3,10,2.40,1.00,100,24.00,2.02,0.4,100.0,320.0,0.73,3.12,76.8,2.4
